T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,21936.0,26235.0,gas_cc,0.5745879714019386,41.6982451576483,468.0805523713699,457.4908898449918
1,21801.0,25356.0,gas_cc,0.5750925865585647,41.66165702035866,467.6698349551328,470.8589145958533
2,20857.0,24024.0,gas_cc,0.5771110471850686,41.515944310923146,466.03414776344783,478.62175605930264
3,18229.0,21037.0,gas_cc,0.5831664290645804,41.08485828751396,461.1950236421792,481.55328497050607
4,16939.0,19727.0,gas_cc,0.5861941200043362,40.872655112911424,458.8129526747468,483.4551358178004
5,17279.0,20009.0,gas_cc,0.5856895048477103,40.907869951304136,459.20825422626797,484.4409376347572
6,18037.0,20751.0,gas_cc,0.5836710442212063,41.049338207487764,460.7962956233842,483.9246352373764
7,18030.0,20852.0,gas_cc,0.5836710442212063,41.049338207487764,460.7962956233842,481.42597984564713
8,17260.0,21357.0,gas_cc,0.5856895048477103,40.907869951304136,459.20825422626797,453.45571776483376
9,16242.0,22491.0,gas_cc,0.5872033503175883,40.80240700805859,458.02438779394083,403.2982882780645
10,15518.0,23848.0,gas_cc,0.5892218109440922,40.66263273208535,456.4553620457946,366.46981657800484
11,15643.0,24948.0,gas_cc,0.5887171957874662,40.69748644611264,456.8466098225874,352.5992436132109
12,16865.0,26451.0,coal,0.39843776692491345,40.870176179453466,918.0271781891878,358.3195540197544
13,16084.0,24901.0,gas_cc,0.5877079654742142,40.76737342979754,457.6311209645579,361.36137373369394
14,16079.0,22964.0,gas_cc,0.5877079654742142,40.76737342979754,457.6311209645579,391.74235375970613
15,18207.0,22984.0,gas_cc,0.5831664290645804,41.08485828751396,461.1950236421792,440.31892470433377
16,20577.0,24521.0,coal,0.39258371444728185,41.47961601946675,931.7164349750374,462.4062211663036
17,22975.0,27432.0,gas_cc,0.5720648956188087,41.88215406966513,470.1450081967266,455.2971791787875
18,23617.0,29343.0,gas_cc,0.5705510501489308,41.99328016292276,471.39244589867894,435.9477662369531
19,24258.0,30308.0,coal,0.38672966196965025,42.10750643700866,945.8201292115652,432.33532053043257
20,24222.0,30190.0,gas_cc,0.5690372046790528,42.104997527652564,472.6465208746041,433.1794135453726
21,23301.0,28677.0,gas_cc,0.5710556653055567,41.9561726672195,470.97589846316384,440.87991044671577
22,23113.0,27841.0,gas_cc,0.5715602804621828,41.91913069393057,470.5600865446416,450.9400715162188
23,21745.0,26010.0,gas_cc,0.5750925865585647,41.66165702035866,467.6698349551328,458.01265389215575
24,17904.0,21583.0,gas_cc,0.5841756593778323,41.01387949246526,460.398256452878,462.43064296527893
