T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,11785.0,15016.0,coal,0.4623823870945642,35.21808396096814,788.14383988764,737.5910458850569
1,11519.0,14682.0,coal,0.4648590720506021,35.03044838715467,783.9447522311744,740.1435830491027
2,11230.0,14334.0,coal,0.46733575700664,34.84480159419486,779.7901714076313,742.353835159892
3,11024.0,14093.0,coal,0.46857409948465895,34.75271413566975,777.7293505166393,743.6699999072024
4,11067.0,14137.0,coal,0.46857409948465895,34.75271413566975,777.7293505166393,743.7209924852812
5,11216.0,14191.0,coal,0.46733575700664,34.84480159419486,779.7901714076313,749.0650983568589
6,11074.0,14123.0,coal,0.46857409948465895,34.75271413566975,777.7293505166393,744.8437142404615
7,11130.0,14281.0,coal,0.46857409948465895,34.75271413566975,777.7293505166393,739.6527287897883
8,11357.0,14600.0,coal,0.4660974145286211,34.93737837451421,781.8619428079775,735.6179665151285
9,11737.0,15067.0,coal,0.46362072957258316,35.12401558442356,786.0386881257211,732.5894111017063
10,11970.0,15286.0,coal,0.4611440446165453,35.31265755434408,790.2602978731992,734.1063684336457
11,12282.0,15553.0,coal,0.45866735966050737,35.503336759830376,794.527498819317,737.3884865979289
12,12655.0,15804.0,coal,0.45619067470446945,35.69608638168353,798.8410335156562,744.4780403728954
13,12961.0,16077.0,coal,0.4537139897484316,35.89094032519971,803.2016607272417,747.088157982795
14,12937.0,16041.0,coal,0.4537139897484316,35.89094032519971,803.2016607272417,747.5630868419639
15,12443.0,15812.0,coal,0.4574290171824884,35.59945066684028,796.678427411041,733.406065028177
16,13584.0,17204.0,coal,0.4487606198363558,36.2871005408349,812.0673115078882,727.4046356310392
17,13806.0,17593.0,coal,0.44628393488031787,36.48847842828187,816.5739377529964,721.5910118314196
18,13759.0,17543.0,coal,0.44752227735833683,36.38751086737576,814.3143894696534,721.4644462330099
19,13962.0,17623.0,coal,0.4450455924022989,36.59000787507881,818.8460604541884,727.59267678799
20,14105.0,17619.0,coal,0.44380724992428,36.69210391120821,821.1308628313282,734.4039397515224
21,13971.0,17354.0,coal,0.4450455924022989,36.59000787507881,818.8460604541884,739.2955720628578
22,13671.0,16838.0,coal,0.44752227735833683,36.38751086737576,814.3143894696534,747.4160300506213
23,12784.0,15728.0,coal,0.45495233222645054,35.79324816531291,801.0154124888245,754.6378765132087
24,12464.0,15374.0,coal,0.4574290171824884,35.59945066684028,796.678427411041,755.388769819251
25,12423.0,15276.0,coal,0.4574290171824884,35.59945066684028,796.678427411041,758.0965653101147
26,12375.0,15262.0,coal,0.45866735966050737,35.503336759830376,794.527498819317,756.289751634634
