T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,16952.5,55872.0,lignite,0.4025120921560813,29.693247864265786,930.8718923879627,117.53841051903102
1,16365.5,56673.0,lignite,0.407282373319633,29.345466692649953,919.9690865097099,106.27814504143934
2,15889.0,56914.75,lignite,0.4096675139014089,29.17461335152651,914.6129000224855,98.13314575188247
3,15675.25,57594.5,lignite,0.4096675139014089,29.17461335152651,914.6129000224855,93.58054935457633
4,15478.75,57390.25,lignite,0.41205265448318473,29.00573795779892,909.3187214248607,90.79100324212469
5,15619.5,58147.0,lignite,0.4096675139014089,29.17461335152651,914.6129000224855,91.81445785037737
6,15777.0,57695.25,lignite,0.4096675139014089,29.17461335152651,914.6129000224855,95.03012487820807
7,15443.75,56823.5,lignite,0.41205265448318473,29.00573795779892,909.3187214248607,91.13645267479964
8,15016.0,55971.25,lignite,0.4144377950649606,28.838806361474173,904.085480127698,85.58943245182752
9,15221.5,58088.5,lignite,0.41205265448318473,29.00573795779892,909.3187214248607,85.67265694121559
10,15569.5,61783.75,lignite,0.41205265448318473,29.00573795779892,909.3187214248607,85.67040763607993
11,15488.0,64291.75,lignite,0.41205265448318473,29.00573795779892,909.3187214248607,81.17572739876466
12,15968.25,64599.5,lignite,0.4096675139014089,29.17461335152651,914.6129000224855,87.5812743056639
13,16602.5,62219.5,lignite,0.40489723273785716,29.51833293583593,925.3883767018812,100.32735882389417
14,17657.5,57902.5,lignite,0.39774181099252964,30.04937120120669,942.0362219384745,124.80115909271137
15,19108.25,54427.75,lignite,0.39058638924720207,30.59986637985576,959.2940339178843,158.10052269835097
16,23358.75,54307.5,lignite,0.36434984284766764,32.80333875634942,1028.3720448619042,236.17214966781734
17,26908.0,56176.0,lignite,0.3428835776116849,34.856995496851155,1092.7533932777092,295.1234834569639
18,29877.25,58227.0,lignite,0.326187593539254,36.641158515786415,1148.6862172435106,341.74928385151077
19,29935.5,57767.0,lignite,0.326187593539254,36.641158515786415,1148.6862172435106,345.62893214077855
20,30156.75,56882.5,lignite,0.3238024529574781,36.91105861487789,1157.1474814725184,355.4767160374789
21,29712.25,56119.0,lignite,0.32857273412102983,36.375176877434484,1140.347795250574,351.2096365590837
22,28371.75,54121.25,lignite,0.33572815586635735,35.59990757972763,1116.0434011483992,336.17155219507674
23,27609.0,52679.75,lignite,0.3404984370299091,35.10116353252121,1100.4079672220557,329.2973758475778
24,26393.0,50665.75,lignite,0.3476538587752367,34.37871037261171,1077.759338712274,316.19985868727224
25,25223.0,49325.75,lignite,0.3548092805205642,33.68539656916331,1056.0242178125698,299.42677163892745
26,24631.25,48147.75,lignite,0.35719442110234007,33.46046470678323,1048.9726904973625,293.8084790954948
27,24098.5,47657.25,lignite,0.3595795616841159,33.23851685222931,1042.014710679038,285.15955369080757
28,25872.75,50144.75,lignite,0.3500389993570125,34.14445631118011,1070.415564044673,308.33378751752605
29,27822.5,52576.25,lignite,0.33811329644813326,35.34877641994224,1108.1705359429618,334.4328000047843
