T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,2932.75,3168.5,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,351.39640628930556
1,2926.5,3209.75,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,344.4319396816929
2,2914.75,3172.0,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,343.8730516761458
3,2737.5,3000.0,lignite,0.34437739433901904,34.70579520381872,1176.572365250983,291.24051477548585
4,2583.5,2840.75,lignite,0.3573089404478694,33.44974045646212,1133.9904478420003,244.8557624474341
5,2644.25,2870.75,lignite,0.3573089404478694,33.44974045646212,1133.9904478420003,266.29414852528083
6,2663.5,2892.75,lignite,0.34437739433901904,34.70579520381872,1176.572365250983,271.94026075460545
7,2641.25,2870.25,lignite,0.3573089404478694,33.44974045646212,1133.9904478420003,265.1552845694361
8,2684.0,2876.75,lignite,0.34437739433901904,34.70579520381872,1176.572365250983,281.8371157679777
9,2726.5,2899.75,lignite,0.34437739433901904,34.70579520381872,1176.572365250983,296.8460206254666
10,2787.25,2983.5,lignite,0.3314458482301686,36.05986131542932,1222.4769975548293,312.84370934508536
11,2819.75,3015.0,lignite,0.3314458482301686,36.05986131542932,1222.4769975548293,322.7528057219218
12,2857.75,3034.25,lignite,0.3314458482301686,36.05986131542932,1222.4769975548293,336.0151059268938
13,2855.75,3018.25,lignite,0.3314458482301686,36.05986131542932,1222.4769975548293,336.98629376743736
14,2834.0,2985.5,lignite,0.3314458482301686,36.05986131542932,1222.4769975548293,331.77692395469785
15,2983.0,3133.0,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,366.64946640745944
16,2988.5,3137.5,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,366.93182599420794
17,2977.25,3129.75,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,366.1831416704593
18,2961.25,3118.0,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,365.1971583883053
19,2962.75,3125.0,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,364.600425187167
20,2990.0,3155.25,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,365.08682130163646
21,3017.75,3182.5,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,365.9810170408379
22,2981.0,3148.25,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,364.5805319720551
23,2965.0,3129.5,gas_cc,0.6102869175400838,49.82582561472764,461.05923677399915,364.40764083484214
24,2894.75,3055.75,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,348.72493369117626
25,2904.5,3055.25,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,352.7948299564354
26,2933.75,3050.0,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,365.4613011531675
27,2936.75,3043.75,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,367.4511159213632
28,2873.75,2985.25,lignite,0.3222261348007104,37.091626128174525,1257.4551894961216,348.114783400852
29,3066.5,3197.0,gas_cc,0.6041028056782722,50.33588528720778,465.77903259075674,371.40405920447125
30,3205.75,3352.0,gas_cc,0.5917345819546491,51.38798788446063,475.5145786557268,373.72420645327946
31,3375.25,3525.5,gas_cc,0.579366358231026,52.485010729905866,485.6657905946036,378.34759313155854
32,3480.25,3627.25,gas_cc,0.5731822463692144,53.051275961388704,490.90567999368585,381.84266698178004
33,3520.25,3687.0,gas_cc,0.5731822463692144,53.051275961388704,490.90567999368585,380.98048305110086
34,3538.75,3753.25,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,376.6892691507411
35,3558.0,3791.25,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,375.4334327553964
36,3558.5,3817.25,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,372.9412880657024
37,3586.25,3839.5,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,374.36680381718463
38,3594.5,3822.0,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,377.1521421198398
39,3591.0,3849.75,gas_cc,0.5669981345074029,53.62989342940222,496.25986981181825,373.9823566823006
40,3466.25,3759.5,gas_cc,0.5731822463692144,53.051275961388704,490.90567999368585,366.5822939991355
41,3497.5,3796.5,gas_cc,0.5731822463692144,53.051275961388704,490.90567999368585,367.0504245461748
