T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,4167.0,6093.0,lignite,0.36634379196144706,32.624795569109835,1111.772828491827,473.2826980219863
1,4167.0,6093.0,lignite,0.36634379196144706,32.624795569109835,1111.772828491827,473.2826980219863
2,4085.0,5742.0,lignite,0.37087079036413456,32.2265641600405,1098.202081079252,486.38410345870506
3,3897.0,5303.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,487.82293019963987
4,3898.0,5089.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,508.5498049689864
5,3912.0,5024.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,518.1527425210812
6,3881.0,4898.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,524.6152839185355
7,3848.0,4845.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,522.9642983618368
8,3833.0,4724.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,532.9144043153847
9,3841.0,4746.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,532.2729277483626
10,3866.0,4946.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,516.233578862872
11,3892.0,5181.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,498.2629233075242
12,3896.0,5471.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,472.64486203805683
13,3900.0,5671.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,456.7412933810853
14,3905.0,5702.0,lignite,0.3753977887668221,31.837937458333347,1084.9586384814534,455.20951735470743
15,4033.0,5785.0,lignite,0.37087079036413456,32.2265641600405,1098.202081079252,472.8973230499158
16,4254.0,6179.0,lignite,0.36634379196144706,32.624795569109835,1111.772828491827,482.34920134758886
17,4319.0,7077.0,lignite,0.3618167935587595,33.03299220359077,1125.6831662880095,431.4515409821582
18,4293.0,7480.0,lignite,0.3618167935587595,33.03299220359077,1125.6831662880095,404.29342155177073
19,4277.0,7523.0,lignite,0.3618167935587595,33.03299220359077,1125.6831662880095,399.5884437786304
20,4305.0,7520.0,lignite,0.3618167935587595,33.03299220359077,1125.6831662880095,403.93922755355067
21,4330.0,7331.0,lignite,0.3618167935587595,33.03299220359077,1125.6831662880095,418.1919343009004
