T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,959.0,1171.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,203.03138461945113
1,964.0,1076.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,225.39011157462417
2,950.0,1037.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,220.9872090574004
3,961.0,1160.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,206.60151280633158
4,964.0,1128.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,214.99978728217695
5,964.0,1130.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,214.61925668521732
6,969.0,1134.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,218.06857911747267
7,948.0,1075.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,211.40068123400638
8,960.0,1166.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,204.7201999334142
9,972.0,1241.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,201.57274288329168
10,973.0,1226.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,204.8171090139875
11,973.0,1253.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,200.40365175670286
12,978.0,1399.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,182.89905955401503
13,973.0,1493.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,168.18873117960393
14,975.0,1568.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,161.3608285185689
15,971.0,1620.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,153.82578529949467
16,975.0,1660.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,152.4179392271783
17,966.0,1778.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,137.47343280104775
18,964.0,1820.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,133.25261541444814
19,1076.0,1967.0,lignite,0.38258112507521885,31.240148918493738,994.6776248242579,178.0282013143257
20,970.0,1814.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,136.84882604862057
21,971.0,1808.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,137.830626208618
22,959.0,1778.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,133.7175204664664
23,948.0,1748.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,130.00900018681742
24,943.0,1610.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,138.1898904730674
25,948.0,1511.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,150.40088175152673
26,948.0,1336.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,170.10159605281203
27,956.0,1325.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,177.27377070975564
28,954.0,1347.0,lignite,0.3988932846088698,29.962628557344615,954.0017329836725,172.96194708571556
