T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,12959.5,23521.5,gas_cc,0.6068105112447707,47.33264995741829,446.1862893756258,105.47452101681627
1,12590.0,23105.0,gas_cc,0.6092256407840518,47.14501097207044,444.4174904030374,100.25796403930674
2,11939.0,22046.0,coal,0.4502888834335662,46.88512668838426,817.7433084524982,87.9593081082895
3,11916.5,21501.0,coal,0.4502888834335662,46.88512668838426,817.7433084524982,89.33313251082132
4,11728.5,20935.5,coal,0.4502888834335662,46.88512668838426,817.7433084524982,84.40285353233023
5,12009.5,20928.0,coal,0.4502888834335662,46.88512668838426,817.7433084524982,95.41293051420354
6,12898.0,21938.0,gas_cc,0.6080180760144113,47.238644132925415,445.30013341250293,111.83749181711765
7,13516.0,21904.0,gas_cc,0.6031878169358489,47.6169257945829,448.8660459719231,124.62804631424554
8,14284.5,22291.5,coal,0.44192613880687565,47.77235264506463,833.2177913089237,145.74573827556432
9,16561.0,24511.0,coal,0.4335633941801851,48.69380494189034,849.2892302280403,181.79637991681233
10,18414.5,27031.5,coal,0.42520064955349457,49.65150304526466,865.9928475768235,199.53882820585002
11,19855.5,29187.0,gas_cc,0.5717911329251938,50.231540619200885,473.5129923776771,212.79992477270184
12,20958.0,30164.0,gas_cc,0.5669608738466314,50.6594914113956,477.54711631065993,229.7673671400886
13,22228.5,30502.5,gas_cc,0.5585079204591473,51.42621700981171,484.77473720309575,247.24812748482645
14,22667.5,30083.5,gas_cc,0.5560927909198662,51.649562785592096,486.88013005629165,257.7801833556831
15,23359.5,30457.5,gas_cc,0.5548852261502256,51.76196475531103,487.93969925075936,272.2015909795457
16,26276.5,33261.5,gas_cc,0.5379793193752574,53.38857551733565,503.27311964490906,298.8191100786816
17,28242.0,35322.5,gas_cc,0.5283188012181328,54.36480672845111,512.475667612372,315.48051888429893
18,27746.0,34599.0,gas_cc,0.5319414955270545,53.99456474207317,508.9855419122127,314.760664604393
19,26763.5,33385.0,gas_cc,0.5355641898359762,53.62933158026726,505.5426324328214,305.06963937118434
20,25099.0,31679.0,coal,0.40011241567342287,52.764799389243706,920.2931648061939,291.7806767866669
21,23498.5,29532.5,gas_cc,0.553677661380585,51.87485701990056,489.0038902622858,283.0273497230838
22,22244.0,28008.0,gas_cc,0.5585079204591473,51.42621700981171,484.77473720309575,269.5372756723996
23,19585.0,23477.0,gas_cc,0.5729986976948344,50.125680276026394,472.5150885257789,259.1049082202955
24,18726.0,23868.5,coal,0.42520064955349457,49.65150304526466,865.9928475768235,237.28305535189125
25,19448.5,24367.0,gas_cc,0.5742062624644749,50.020265184773635,471.52138188876245,246.9963389133891
26,19479.0,24128.0,gas_cc,0.5742062624644749,50.020265184773635,471.52138188876245,250.0390083077818
27,19387.0,23988.5,gas_cc,0.5742062624644749,50.020265184773635,471.52138188876245,249.68469163625878
28,18886.5,23504.0,gas_cc,0.5778289567733966,49.70666350751,468.56518212293247,244.8219450880722
29,19323.0,24226.5,gas_cc,0.5742062624644749,50.020265184773635,471.52138188876245,245.98616625907633
30,21709.0,26643.5,gas_cc,0.5621306147680691,51.09479676904135,481.650568841799,273.64155663217593
31,27292.5,32960.5,coal,0.3917496710467323,53.89117823569375,939.9388142802557,318.429683143586
32,29536.0,35605.5,coal,0.3833869264200418,55.0666960485333,960.4415172334806,334.29367250840926
33,31464.0,38021.0,coal,0.36666143716666066,57.57859760026457,1004.2526537389214,351.44156779385685
34,32285.0,39666.0,coal,0.34993594791327953,60.33061613717304,1052.2517720574322,358.0545998185304
35,32537.5,39956.5,coal,0.34993594791327953,60.33061613717304,1052.2517720574322,362.1009680238842
36,32924.5,40186.5,gas,0.44886621984001784,63.987772413499215,603.1875832913645,368.82624352004103
37,33444.5,40063.5,gas,0.445518149281378,64.46864076258026,607.7205402364687,377.8169118325317
38,34186.5,39990.0,gas,0.44105405520319146,65.12115506113804,613.8715360902809,389.8384295141417
39,36241.0,41390.0,gas,0.42877779648817854,66.98562694820565,631.4471798305799,407.5248702064115
40,38204.5,43119.0,gas,0.41761756129271227,68.77572253025842,648.3217073734573,420.29200609369764
41,39205.5,44386.5,gas,0.41203744369497913,69.70713453045519,657.1017622535792,423.00592788345955
42,38711.5,44035.0,gas,0.415385514253619,69.14528440126153,651.8054218932642,419.0354165453952
43,37594.0,42702.0,gas,0.42096563185135216,68.22872782491854,643.1654032556173,415.17165752387774
44,36061.0,40357.5,gas,0.4298938200077252,66.81172927471866,629.8079148045564,415.14188377495014
45,33082.0,36968.0,gas,0.44775019632047125,64.14726281587917,604.6910366347323,403.510347620488
46,29584.5,33285.0,coal,0.3833869264200418,55.0666960485333,960.4415172334806,358.9987913499771
47,26178.0,29639.5,gas_cc,0.539186884144898,53.26900628300928,502.1459874637283,333.66647994353605
48,25135.5,28540.5,coal,0.40011241567342287,52.764799389243706,920.2931648061939,325.04373646012675
49,24870.0,28208.5,gas_cc,0.545224707993101,52.67910477673034,496.5852177958461,320.28259088286353
