T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,961.0,3625.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,206.17752088845995
1,818.0,3715.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,170.1416033643395
2,790.0,3889.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,156.82189598903423
3,776.0,4275.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,140.06608233982942
4,777.0,4597.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,130.42749742902785
5,833.0,4784.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,134.60840545058002
6,1016.0,5000.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,158.4208053517382
7,1000.0,5043.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,154.49084511427048
8,929.0,5142.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,140.2917393087937
9,933.0,5340.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,135.69883843402124
10,955.0,5553.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,133.71438909650328
11,986.0,5813.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,132.06889281262156
12,1061.0,5925.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,139.86250734465386
13,1116.0,5808.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,150.37807671403203
14,1037.0,5621.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,143.95575764916146
15,1083.0,5628.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,150.4210308159708
16,1010.0,5597.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,140.65151263014235
17,1052.0,5534.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,148.42231481123918
18,1066.0,5330.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,156.2382641945393
19,1004.0,5169.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,151.35403475007203
20,1030.0,5032.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,159.6750565878752
21,997.0,4812.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,161.40036920768367
22,895.0,4927.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,140.80391657703242
23,936.0,5034.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,144.43197308731934
24,902.0,4915.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,142.3054579798143
25,895.0,4858.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,142.80380752882644
26,814.0,4832.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,130.1542305017881
27,759.0,4892.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,119.64565402060026
28,778.0,5045.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,119.00255884236101
29,906.0,5384.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,130.51318716245237
30,1083.0,5807.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,145.7843226162018
31,1095.0,5926.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,144.50296702123737
32,990.0,5912.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,130.40733214337368
33,1116.0,6106.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,143.03895669097577
34,1104.0,6169.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,139.9968955129728
35,1294.0,6366.0,coal,0.43516490086349,47.950494073844716,834.191150153083,160.40151999427306
36,1310.0,6381.0,coal,0.43516490086349,47.950494073844716,834.191150153083,162.11614710640836
37,1294.0,6320.0,coal,0.43516490086349,47.950494073844716,834.191150153083,161.56899941195292
38,1270.0,6295.0,coal,0.43516490086349,47.950494073844716,834.191150153083,159.0302603145144
39,1146.0,6082.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,147.61319013384087
40,1009.0,6105.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,128.81467612824613
41,1186.0,6511.0,coal,0.43516490086349,47.950494073844716,834.191150153083,142.9923870476132
42,1067.0,6728.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,123.89459967075783
43,1024.0,6809.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,117.28702807789745
44,960.0,6828.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,109.34103614421548
45,874.0,6171.0,coal,0.4465524420041958,46.72770773875634,812.9184279640692,109.65315345775292
46,797.0,5971.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,103.0697168398335
47,697.0,5814.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,92.21859501266273
48,638.0,5494.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,89.07706486601317
49,589.0,5414.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,83.21886112464614
50,610.0,5414.0,coal,0.4579399831449016,45.565735179313776,792.7036784702485,86.29362603928878
