T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,65.0,490.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,95.46882425310093
1,65.0,490.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,95.46882425310093
2,64.0,493.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,93.42806455226233
3,64.0,497.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,92.6761284190449
4,65.0,485.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,96.45303893612261
5,67.0,484.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,99.62623967671024
6,66.0,490.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,96.93757539545636
7,65.0,520.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,89.9610074692682
8,62.0,516.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,86.4741467146454
9,66.0,505.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,94.05824147281903
10,64.0,509.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,90.49122951722067
11,64.0,565.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,81.52218729958464
12,65.0,557.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,83.9851416230152
13,62.0,565.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,78.97461894647262
14,65.0,585.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,79.96533997268284
15,65.0,574.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,81.49777680142763
16,64.0,562.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,81.95735911790983
17,64.0,545.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,84.51382720048683
18,64.0,534.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,86.25474873457925
19,65.0,514.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,91.01113596112737
20,64.0,474.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,97.17307135920954
21,67.0,464.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,103.92047414553397
22,64.0,425.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,108.37655488062428
23,64.0,348.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,132.35642478237162
24,65.0,318.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,147.10604994974673
25,65.0,253.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,184.90009440323897
26,66.0,228.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,208.33075413935794
27,64.0,220.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,209.363799201206
28,64.0,228.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,202.01770098361982
29,66.0,231.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,205.62515992975588
30,65.0,232.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,201.63674087939424
31,65.0,282.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,165.88554568801226
32,236.0,440.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,388.97943515357787
33,238.0,447.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,386.2070476005408
34,219.0,461.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,343.905339660956
35,62.0,295.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,151.25647357544756
36,69.0,301.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,164.978325990153
37,66.0,343.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,138.48225056493763
38,66.0,373.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,127.34426794577375
39,63.0,349.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,129.91503657453055
40,63.0,349.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,129.91503657453055
41,263.0,537.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,356.0140324036968
42,266.0,529.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,365.60478944345243
43,263.0,533.0,gas,0.42393283194302306,65.24455765641498,741.7994049337373,358.68580750616354
44,81.0,344.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,169.46143267466798
45,65.0,333.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,140.47965130336175
46,66.0,366.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,129.77981405402625
47,66.0,390.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,121.79336395839388
48,66.0,261.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,181.990084075761
49,66.0,264.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,179.9220149385364
50,67.0,274.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,175.9821168011962
51,66.0,248.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,191.52988687005487
52,66.0,260.0,gas,0.43695753765129375,63.29976648263446,719.6880597541456,182.69004593759084
