T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,4553.0,7757.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,188.5857692460023
1,4553.0,7757.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,188.5857692460023
2,4561.0,7667.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,191.79817912515406
3,4559.0,7577.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,193.8237340008878
4,4578.0,7601.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,195.6041833165509
5,4592.0,7574.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,198.07061594717544
6,4589.0,7594.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,197.17086317384295
7,4575.0,7625.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,194.61194585539147
8,4564.0,7674.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,191.99738722886366
9,4562.0,7678.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,191.64805193624258
10,4551.0,7544.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,193.6566284747363
11,4526.0,7533.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,190.82272886951696
12,4524.0,7521.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,190.88015015753322
13,4537.0,7553.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,191.67041657487366
14,4553.0,7610.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,192.2286218188226
15,4591.0,7793.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,192.38159139869012
16,4582.0,7881.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,189.1404404320215
17,4578.0,7962.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,186.73541790870428
18,4568.0,7965.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,185.4634479912063
19,4588.0,7978.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,187.560595578873
20,4600.0,7872.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,191.54518197347855
21,4609.0,7664.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,197.86764133878575
22,4605.0,7637.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,198.065888380882
23,4583.0,7423.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,200.93936608630958
24,4557.0,7078.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,207.21789003912093
25,4518.0,6829.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,209.40629486264706
26,4513.0,6743.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,211.38819064494405
27,4507.0,6709.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,211.6286403042282
28,4504.0,6724.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,210.74204892060848
29,4507.0,6867.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,206.75936330290767
30,4551.0,6947.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,210.2987772007213
31,4590.0,7241.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,206.91515513825135
32,4650.0,7596.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,204.80500831897712
33,4723.0,7842.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,207.30893342162005
34,4782.0,7843.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,214.70700834422664
35,4718.0,7811.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,207.4999200277991
36,4711.0,7823.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,206.32521429627212
37,4716.0,7788.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,207.86693226878654
38,4698.0,7751.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,206.63653813170535
39,4683.0,7807.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,203.3153907839285
40,4769.0,8063.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,207.2574273843774
41,4885.0,8337.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,214.17818710339486
42,4909.0,8418.0,gas_cc,0.599518330289777,56.88371101465714,433.44536454091923,213.94485998437713
43,4793.0,8091.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,209.46775227601302
44,4678.0,7822.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,202.31369710822773
45,4636.0,7599.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,202.96083634638066
46,4619.0,7248.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,210.54478992268204
47,4614.0,7196.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,211.4012118246285
48,4588.0,7179.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,208.4354968001461
49,4569.0,7254.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,203.77356860544148
50,4550.0,7249.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,201.4055044557175
51,4532.0,7213.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,200.06122810090974
52,4528.0,7208.0,coal,0.38041561151418896,52.66310517265228,929.0036196317974,199.68446501294875
53,4543.0,7195.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,201.98593160557255
54,4636.0,7463.0,coal,0.36924691200890597,54.2560186881329,957.1034139145388,206.6594392866336
55,4768.0,7698.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,216.95631084556948
56,4807.0,7940.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,215.19155783624643
57,4778.0,8074.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,208.07520956150665
58,4759.0,8118.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,204.63748163215374
59,4756.0,8127.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,204.0465371670605
60,4750.0,8235.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,200.65142330181587
61,4758.0,8254.0,coal,0.35807821250362293,55.948300284502416,986.9561110411026,201.1461254881007
