T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,40813.0,59251.0,nuclear,0.33,12.666666666666666,0.0,0.0
1,38677.0,56880.0,nuclear,0.33,12.666666666666666,0.0,0.0
2,38169.0,55384.0,nuclear,0.33,12.666666666666666,0.0,0.0
3,37940.0,54600.0,nuclear,0.33,12.666666666666666,0.0,0.0
4,38459.0,53976.0,nuclear,0.33,12.666666666666666,0.0,0.0
5,39057.0,54365.0,nuclear,0.33,12.666666666666666,0.0,0.0
6,39770.0,55331.0,nuclear,0.33,12.666666666666666,0.0,0.0
7,39773.0,55718.0,nuclear,0.33,12.666666666666666,0.0,0.0
8,40369.0,56709.0,nuclear,0.33,12.666666666666666,0.0,0.0
9,40724.0,57366.0,nuclear,0.33,12.666666666666666,0.0,0.0
10,41508.0,58103.0,nuclear,0.33,12.666666666666666,0.0,0.0
11,41772.0,59082.0,nuclear,0.33,12.666666666666666,0.0,0.0
12,41276.0,59412.0,nuclear,0.33,12.666666666666666,0.0,0.0
13,41338.0,59069.0,nuclear,0.33,12.666666666666666,0.0,0.0
14,40733.0,58470.0,nuclear,0.33,12.666666666666666,0.0,0.0
15,42053.0,58989.0,nuclear,0.33,12.666666666666666,0.0,0.0
16,43223.0,60403.0,nuclear,0.33,12.666666666666666,0.0,0.0
17,46319.0,63932.0,nuclear,0.33,12.666666666666666,0.0,0.0
18,48440.0,66540.0,nuclear,0.33,12.666666666666666,0.0,0.0
19,50670.0,69828.0,nuclear,0.33,12.666666666666666,0.0,0.0
20,50359.0,68741.0,nuclear,0.33,12.666666666666666,0.0,0.0
21,51147.0,68181.0,nuclear,0.33,12.666666666666666,0.0,0.0
22,50579.0,67481.0,nuclear,0.33,12.666666666666666,0.0,0.0
23,50713.0,67407.0,nuclear,0.33,12.666666666666666,0.0,0.0
24,50072.0,66112.0,nuclear,0.33,12.666666666666666,0.0,0.0
25,49720.0,65158.0,nuclear,0.33,12.666666666666666,0.0,0.0
26,48885.0,64140.0,nuclear,0.33,12.666666666666666,0.0,0.0
27,48940.0,63529.0,nuclear,0.33,12.666666666666666,0.0,0.0
28,49534.0,63492.0,nuclear,0.33,12.666666666666666,0.0,0.0
29,50534.0,64193.0,nuclear,0.33,12.666666666666666,0.0,0.0
30,51064.0,64763.0,nuclear,0.33,12.666666666666666,0.0,0.0
31,54829.0,68038.0,nuclear,0.33,12.666666666666666,0.0,0.0
32,57624.0,70263.0,nuclear,0.33,12.666666666666666,0.0,0.0
33,59130.0,71939.0,nuclear,0.33,12.666666666666666,0.0,0.0
34,59910.0,73455.0,nuclear,0.33,12.666666666666666,0.0,0.0
35,60586.0,74929.0,nuclear,0.33,12.666666666666666,0.0,0.0
