T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,13962.0,23821.5,gas_cc,0.5891943845227681,43.3779584457568,459.5266646774501,120.18581079140634
1,14659.0,24512.5,coal,0.4603773589224676,43.51618725425739,799.8236971517922,136.21797067529394
2,13906.5,23524.0,gas_cc,0.5891943845227681,43.3779584457568,459.5266646774501,120.62160184823531
3,13338.5,22860.0,gas_cc,0.5940079100896729,43.02644643981859,455.8029039134471,112.75826095969596
4,12334.0,21687.5,gas_cc,0.5988214356565777,42.68058557436036,452.13900880078927,90.43314898764258
5,12454.0,21587.5,gas_cc,0.5972169271342761,42.79525305979064,453.3537447868689,93.36647039765276
6,13664.0,22333.5,gas_cc,0.5907988930450697,43.26015134620804,458.27866902549556,122.071305659858
7,14737.5,23242.5,gas_cc,0.5859853674781649,43.61550807709246,462.0431590836941,145.54133875459655
8,15770.5,23623.0,coal,0.4540323093935574,44.1243209877496,811.0011417252914,166.0047698839423
9,17723.5,25570.5,gas_cc,0.5683357737328472,44.96998202389376,476.39184946626307,200.07958535958002
10,19500.0,27778.5,gas_cc,0.5571042140767359,45.87660420170777,485.9961987814677,221.02800480206886
11,21500.5,30212.0,coal,0.42865211127791625,46.73689183231766,859.0199642329771,245.04925140049167
12,23248.0,32243.0,gas_cc,0.5378501118091167,47.518907158603426,503.39402079090803,264.1797752507245
13,24531.0,32327.5,gas_cc,0.5298275691976086,48.2384289043471,511.016311922888,289.2250726403069
14,24420.0,31888.0,coal,0.4159620122200957,48.162733062004115,885.2268007192712,290.79883839566844
15,24634.5,31570.0,gas_cc,0.5298275691976086,48.2384289043471,511.016311922888,297.84015597287106
16,26273.5,34057.5,gas_cc,0.5185960095414974,49.28315887138882,522.0837133047118,306.3232335357866
17,27747.0,36414.0,coal,0.39058181410445464,51.29237111160746,942.7492730111372,319.0186723950579
18,26474.0,35251.0,gas_cc,0.5169915010191959,49.4361115761416,523.7040257580128,298.92373850310236
19,24806.0,33886.0,gas_cc,0.5282230606753071,48.38495596089119,512.568553936834,280.0768091063088
20,22164.0,31709.0,gas_cc,0.5426636373760215,47.09740577401587,498.92882389468576,245.88769548553546
21,20292.0,29523.5,gas_cc,0.5538951970321327,46.14239239705704,488.8118398880498,226.86038068264088
22,17990.0,26939.5,gas_cc,0.5667312652105456,45.09729936781739,477.74059238790096,194.63190985570233
23,15907.0,24723.0,coal,0.4540323093935574,44.1243209877496,811.0011417252914,163.09640152141208
24,15570.0,23955.0,gas_cc,0.5795673333889585,44.098499097341985,467.1597496415916,157.36105335867427
