T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,1447.25,4912.25,gas_cc,0.5900680934537843,57.65766679586693,446.6468477177658,158.36159995684903
1,1112.0,4579.5,gas_cc,0.5976117894389589,56.92984998032042,441.00879289444555,137.37391940413212
2,788.25,4151.75,gas_cc,0.6051554854241334,56.22017867918012,435.51130284351615,117.34283955692759
3,745.25,4086.75,gas_cc,0.6051554854241334,56.22017867918012,435.51130284351615,114.6268179135506
4,619.75,3981.25,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,103.98477512197516
5,602.5,4030.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,100.85551093844013
6,596.5,4219.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,95.73985989399647
7,612.25,4561.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,90.05553248770677
8,615.5,4619.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,89.22925481638195
9,625.0,4754.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,87.56029818025175
10,667.0,5087.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,85.38938239994931
11,622.0,5170.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,80.26367826648813
12,627.0,5350.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,77.95678826763206
13,612.25,5748.5,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,71.45225427092818
14,685.75,5877.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,75.2932816128918
15,680.75,6083.25,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,72.39403572348432
16,744.0,6290.5,gas_cc,0.6051554854241334,56.22017867918012,435.51130284351615,74.38307908427764
17,939.0,6567.5,gas_cc,0.6013836374315462,56.57278881835788,438.2428078781312,84.2101230965974
18,986.0,6765.75,gas_cc,0.6013836374315462,56.57278881835788,438.2428078781312,84.78696307241259
19,871.25,6612.0,gas_cc,0.6013836374315462,56.57278881835788,438.2428078781312,79.15290883290382
20,785.25,6589.75,gas_cc,0.6051554854241334,56.22017867918012,435.51130284351615,73.73141624825578
21,601.0,6282.5,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,64.60392045515813
22,579.5,6257.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,63.37240015385554
23,553.5,6286.75,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,61.29009146208901
24,619.0,5924.25,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,69.82567847855346
25,634.75,5780.5,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,72.7413875115007
26,624.75,5648.25,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,73.67829932096708
27,575.25,5553.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,71.08395085634685
28,609.75,5809.0,gas_cc,0.6089273334167208,55.87193685054662,432.8136370577446,70.5218195186411
29,780.5,6537.25,gas_cc,0.6051554854241334,56.22017867918012,435.51130284351615,74.0071010797257
30,1133.25,7026.25,gas_cc,0.5976117894389589,56.92984998032042,441.00879289444555,90.86999477106993
31,1587.25,7636.75,gas_cc,0.586296245461197,58.02859865232149,449.5202824856015,110.07502569984362
32,2468.75,8584.0,gas_cc,0.5712088534908478,59.561313364299735,461.39350304063095,155.8205501987095
33,2928.5,9119.25,coal,0.34754409819750376,60.74582033085286,1031.324643795452,173.448911173043
34,2634.75,8768.5,gas_cc,0.5674370054982605,59.95722730377172,464.4604622649566,161.30951152851085
35,2534.5,8626.0,gas_cc,0.5712088534908478,59.561313364299735,461.39350304063095,158.57874167987984
36,2419.25,8503.0,gas_cc,0.5712088534908478,59.561313364299735,461.39350304063095,154.61891385454675
37,2352.0,8587.0,gas_cc,0.5749807014834352,59.17059378072173,458.36678205026254,149.50069864766698
38,2426.5,8657.0,gas_cc,0.5712088534908478,59.561313364299735,461.39350304063095,152.25479119813508
39,2582.75,8817.25,gas_cc,0.5674370054982605,59.95722730377172,464.4604622649566,157.6784720632816
40,2639.5,8883.5,gas_cc,0.5674370054982605,59.95722730377172,464.4604622649566,159.4696503668043
41,2856.75,9319.75,gas_cc,0.5636651575056733,60.35843987551836,467.5684675033549,162.88151401483725
42,2923.0,9382.25,coal,0.34754409819750376,60.74582033085286,1031.324643795452,167.98227479270932
43,2843.25,9164.75,gas_cc,0.5636651575056733,60.35843987551836,467.5684675033549,164.9475234925649
44,2684.75,8917.75,gas_cc,0.5674370054982605,59.95722730377172,464.4604622649566,161.2139244709703
45,2404.75,8319.25,gas_cc,0.5712088534908478,59.561313364299735,461.39350304063095,157.2298486896201
