T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,5575.0,7777.5,gas_cc,0.5995520148709792,53.74337625429344,438.1177372231554,428.26471659866434
1,5178.0,7222.25,gas_cc,0.6023718506261319,53.49179163292218,436.06681127250835,437.1644336610573
2,4780.75,6659.0,gas_cc,0.6051916863812845,53.24255148298619,434.03499752864457,448.1960262260617
3,4841.0,6426.0,gas_cc,0.6051916863812845,53.24255148298619,434.03499752864457,468.51664289456045
4,4775.0,6134.0,gas_cc,0.6051916863812845,53.24255148298619,434.03499752864457,486.14959853334784
5,4782.5,6097.25,gas_cc,0.6051916863812845,53.24255148298619,434.03499752864457,489.6136618778991
6,4923.5,6007.0,gas_cc,0.6037817685037082,53.36688055202991,435.04853211089255,507.1598996593008
7,5814.0,6928.5,gas_cc,0.5981420969934028,53.87005810357829,439.1504517458402,495.8787537201261
8,6561.75,7585.0,gas_cc,0.5925024254830974,54.382814539465514,443.3304587549751,496.4881213732408
9,7074.5,8011.25,gas_cc,0.5882726718503684,54.77383373577257,446.5180598592727,498.55953286735223
10,7532.75,8488.25,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,494.7177644769744
11,7622.0,8448.5,coal,0.3827238517998453,55.16209989753865,933.4070619845021,506.3751926260429
12,7846.75,8607.0,coal,0.3827238517998453,55.16209989753865,933.4070619845021,521.423730926239
13,7696.25,8380.0,coal,0.3827238517998453,55.16209989753865,933.4070619845021,518.7847600541137
14,7523.0,8218.5,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,510.42325781384903
15,7512.0,8107.75,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,516.7868013283429
16,7612.25,8135.25,coal,0.3827238517998453,55.16209989753865,933.4070619845021,524.7546290583293
17,7484.25,8075.0,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,517.3408831712468
18,7509.0,8161.75,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,513.2027055867459
19,7512.25,7997.5,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,523.9250210251715
20,7628.75,7969.25,coal,0.3827238517998453,55.16209989753865,933.4070619845021,537.617882808234
21,7521.5,7792.5,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,538.2406854372144
22,7421.0,7731.25,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,536.6725090168666
23,7212.0,7622.75,gas_cc,0.5868627539727921,54.90542601503151,447.5908043655383,532.0298628659622
24,4743.25,7970.25,gas_cc,0.6051916863812845,53.24255148298619,434.03499752864457,372.4175560656217
25,4178.25,7476.75,gas_cc,0.6094214400140137,52.87301595180148,431.02253195558205,364.34342332558424
26,3791.5,7118.5,coal,0.4009536442610409,52.654095176171964,890.9686971876139,347.7549166007838
27,3778.5,7174.0,coal,0.4009536442610409,52.654095176171964,890.9686971876139,343.45006701411216
28,3980.5,7274.0,gas_cc,0.6108313578915899,52.75097472148689,430.02764790846965,362.80541333155173
29,4274.25,7425.5,gas_cc,0.6094214400140137,52.87301595180148,431.02253195558205,372.4305236573021
30,4936.0,7828.0,gas_cc,0.6037817685037082,53.36688055202991,435.04853211089255,389.8757823077166
31,6341.5,9409.5,gas_cc,0.5939123433606738,54.25371248710162,442.2780146587035,389.85016943219375
32,7347.75,9996.25,gas_cc,0.5868627539727921,54.90542601503151,447.5908043655383,411.7835277083041
33,7776.5,10271.25,coal,0.3827238517998453,55.16209989753865,933.4070619845021,430.553458048215
34,7902.0,10434.75,coal,0.3827238517998453,55.16209989753865,933.4070619845021,435.0334020706566
35,7899.25,10487.5,coal,0.3827238517998453,55.16209989753865,933.4070619845021,432.60051707616935
36,7846.25,10510.25,coal,0.3827238517998453,55.16209989753865,933.4070619845021,426.95724160235466
37,7877.75,10149.75,coal,0.3827238517998453,55.16209989753865,933.4070619845021,445.01881041441015
38,8002.0,9773.0,coal,0.3827238517998453,55.16209989753865,933.4070619845021,474.04128706182684
39,7859.5,9286.5,coal,0.3827238517998453,55.16209989753865,933.4070619845021,484.5523062641945
40,7535.25,8674.0,gas_cc,0.5854528360952157,55.03765210899128,448.66871574969485,484.2529093971699
