T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,7047.0,7822.0,lignite,0.401009662215113,37.93895617367653,943.8438894163498,343.59150822299495
1,6855.0,7621.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,328.9453272361065
2,6823.0,7581.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,326.72670374824384
3,6830.0,7603.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,326.643779182356
4,6858.0,7631.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,328.8825450341393
5,6909.0,7637.0,lignite,0.4025199880536521,37.79660253287132,940.3024210271013,334.8924662611558
6,6990.0,7707.0,lignite,0.401009662215113,37.93895617367653,943.8438894163498,341.7378585212838
7,6980.0,7720.0,lignite,0.401009662215113,37.93895617367653,943.8438894163498,339.93979750380447
8,6880.0,7710.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,328.1857360063919
9,6906.0,7903.0,lignite,0.4025199880536521,37.79660253287132,940.3024210271013,323.26367930828354
10,6751.0,8018.0,lignite,0.40554063973073007,37.515076195820185,933.2986196647473,300.52152368515254
11,6821.0,8267.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,299.38811736494534
12,6717.0,8213.0,lignite,0.40554063973073007,37.515076195820185,933.2986196647473,289.5226377497811
13,6602.0,7941.0,lignite,0.4070509655692691,37.375879894359336,929.8356994420151,285.9603284065251
14,6669.0,7705.0,lignite,0.4070509655692691,37.375879894359336,929.8356994420151,302.80466706539005
15,6805.0,7595.0,lignite,0.4040303138921911,37.65531317053497,936.7874297165807,323.9042748361472
16,7309.0,8107.0,lignite,0.396478684699496,38.37252439316151,954.6301828697781,362.1918237239477
17,7607.0,8527.0,lignite,0.39194770718387895,38.81611684709392,965.6658588414278,377.890849347068
18,8257.0,9156.0,lignite,0.3813754263141058,39.89215599714504,992.4355193428725,421.34411192084895
19,8430.0,9321.0,lignite,0.37986510047556676,40.05076533999356,996.381396461015,432.3383555421978
