T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,14642.0,23251.0,gas_cc,0.6121814020970965,53.64659868381807,449.6845915947821,259.6495553617293
1,14769.0,23320.0,gas_cc,0.6121814020970965,53.64659868381807,449.6845915947821,261.33026393002166
2,14386.0,22700.0,gas_cc,0.6130393275580562,53.57152228849436,449.0552749372893,260.88663439274666
3,14108.0,22227.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,255.12033660195127
4,14336.0,22527.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,261.43977071878624
5,14324.0,22436.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,261.98667224509785
6,14619.0,22708.0,gas_cc,0.6121814020970965,53.64659868381807,449.6845915947821,265.40290056847317
7,14378.0,22435.0,gas_cc,0.6130393275580562,53.57152228849436,449.0552749372893,263.80807481684207
8,14001.0,22036.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,253.71467912381507
9,13764.0,22372.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,245.15482328929855
10,13367.0,23665.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,224.25298085188683
11,13735.0,25295.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,216.31221392394514
12,14009.0,26171.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,213.7650105425935
13,13671.0,25782.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,211.11465863375938
14,13548.0,25493.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,211.34766338101633
15,13722.0,25320.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,215.86872142029426
16,14330.0,25001.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,235.33832033664882
17,14786.0,24644.0,gas_cc,0.6121814020970965,53.64659868381807,449.6845915947821,247.60048664604838
18,14968.0,24628.0,gas_cc,0.6113234766361366,53.72188580211754,450.3156746061092,251.08772555769426
19,15401.0,25249.0,gas_cc,0.6096076257142171,53.873095766351206,451.5831695206002,252.64452071264125
20,15148.0,24839.0,gas_cc,0.6104655511751769,53.7973845318193,450.9485314183735,252.21970274339418
21,15175.0,25240.0,gas_cc,0.6104655511751769,53.7973845318193,450.9485314183735,248.69496064942405
22,15198.0,24313.0,gas_cc,0.6104655511751769,53.7973845318193,450.9485314183735,258.6037355741408
23,15147.0,23352.0,gas_cc,0.6104655511751769,53.7973845318193,450.9485314183735,268.26114456627903
24,14460.0,21874.0,gas_cc,0.6130393275580562,53.57152228849436,449.0552749372893,272.2573233547
25,13987.0,21523.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,259.470272784054
26,13990.0,21720.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,257.1788197183646
27,13952.0,21813.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,255.30113744226878
28,13954.0,21932.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,253.95680131600702
29,13878.0,22237.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,248.94095696152021
30,14741.0,23515.0,gas_cc,0.6121814020970965,53.64659868381807,449.6845915947821,258.6277093890475
31,15371.0,25196.0,gas_cc,0.6096076257142171,53.873095766351206,451.5831695206002,252.63827624971663
32,15843.0,26962.0,gas_cc,0.6078917747922975,54.02515934883502,452.8578197624299,244.00314817153736
33,16361.0,29072.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,234.37076747816806
34,16655.0,31064.0,coal,0.38510358040247655,54.183791223629484,972.1862859724523,225.50750833837373
35,17065.0,32311.0,gas_cc,0.6053179984094181,54.25487113599267,454.7833444690627,225.74578913290296
36,17539.0,33067.0,gas_cc,0.6036021474874986,54.40910065794653,456.0761503746232,227.11630665341215
37,17583.0,33328.0,gas_cc,0.6027442220265389,54.486544706444306,456.72531353080797,225.93983773067748
38,17827.0,33371.0,gas_cc,0.601886296565579,54.56420953159503,457.3763273142731,228.98819904758932
39,17549.0,32689.0,gas_cc,0.6036021474874986,54.40910065794653,456.0761503746232,229.8820910279337
40,17432.0,31934.0,gas_cc,0.6036021474874986,54.40910065794653,456.0761503746232,233.64610647016642
41,17813.0,31627.0,gas_cc,0.6027442220265389,54.486544706444306,456.72531353080797,241.4130247573309
42,17334.0,30760.0,gas_cc,0.6044600729484584,54.331876446040056,455.4288299657924,241.11061566591763
43,17042.0,30310.0,gas_cc,0.6053179984094181,54.25487113599267,454.7833444690627,240.30393189542855
44,16965.0,29969.0,gas_cc,0.6053179984094181,54.25487113599267,454.7833444690627,241.86972732578067
45,17329.0,29975.0,gas_cc,0.6044600729484584,54.331876446040056,455.4288299657924,247.34897059995987
46,15584.0,27860.0,gas_cc,0.6087497002532574,53.94902040417763,452.2195964440327,231.9335785012833
47,14299.0,26086.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,224.40893368606143
48,13339.0,24849.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,213.0639386728317
49,12945.0,23487.0,coal,0.3996943566976414,52.205820898754595,936.6967866133664,210.01233848847198
50,12953.0,23135.0,coal,0.3996943566976414,52.205820898754595,936.6967866133664,213.53159145760316
51,12919.0,22875.0,coal,0.3996943566976414,52.205820898754595,936.6967866133664,214.56636842084345
52,12873.0,22808.0,coal,0.3996943566976414,52.205820898754595,936.6967866133664,213.3075072537083
53,13206.0,22871.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,226.45856302154735
54,13900.0,23587.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,235.1110980511445
55,14376.0,23920.0,gas_cc,0.6130393275580562,53.57152228849436,449.0552749372893,247.39281136981506
56,15332.0,25723.0,gas_cc,0.6096076257142171,53.873095766351206,451.5831695206002,246.7776800830602
57,16085.0,27836.0,gas_cc,0.6070338493313377,54.10151350896764,453.4978470923669,240.2795801892778
58,16677.0,29277.0,coal,0.38510358040247655,54.183791223629484,972.1862859724523,240.00250494636182
59,16829.0,29921.0,coal,0.38510358040247655,54.183791223629484,972.1862859724523,239.7755974994969
60,16526.0,29703.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,231.9146214298467
61,16246.0,29708.0,gas_cc,0.6070338493313377,54.10151350896764,453.4978470923669,227.5964571001282
62,16073.0,29544.0,gas_cc,0.6070338493313377,54.10151350896764,453.4978470923669,226.20431965825986
63,16197.0,29055.0,gas_cc,0.6070338493313377,54.10151350896764,453.4978470923669,231.94679583627885
64,16113.0,28318.0,gas_cc,0.6070338493313377,54.10151350896764,453.4978470923669,236.63819245240919
65,16382.0,28046.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,243.28474240652022
66,16480.0,28447.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,241.4198184262113
67,16536.0,28954.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,238.07078114221423
68,16520.0,29411.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,234.1244827518335
69,16373.0,29068.0,gas_cc,0.606175923870378,54.17808379836391,454.1396860935381,234.5904991178762
70,16032.0,27755.0,gas_cc,0.6078917747922975,54.02515934883502,452.8578197624299,240.11540295211998
71,15183.0,26175.0,gas_cc,0.6104655511751769,53.7973845318193,450.9485314183735,239.949126840222
72,13923.0,24202.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,229.56281742122934
73,13317.0,23234.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,227.45062836351582
74,13276.0,23428.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,223.90772823900295
75,13245.0,23227.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,224.57979793896953
76,13211.0,23326.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,222.2444898716297
77,13090.0,23231.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,218.21439087658158
78,13216.0,23559.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,220.24772471774946
79,13660.0,24260.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,224.1563193682378
80,13559.0,24327.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,221.6798182642284
81,13744.0,26230.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,208.75515319886094
82,13812.0,27935.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,197.10412853467935
83,13637.0,28657.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,189.40338709278967
84,13645.0,29270.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,185.559114424561
85,13260.0,29097.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,179.7621230493838
86,13387.0,29017.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,183.19917113570293
87,13288.0,28274.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,185.9336874618003
88,13422.0,27306.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,195.25165068366195
89,13989.0,27090.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,206.18219034941492
90,13817.0,26921.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,204.61149174259526
91,13842.0,27121.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,203.51597146613736
92,13978.0,27270.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,204.64036786491167
93,14096.0,27063.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,209.1061222022869
94,14048.0,26415.0,coal,0.3899671725008649,53.50802188344129,960.0613742566934,212.49123752398896
95,13688.0,25541.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,213.40475163009825
96,13738.0,24766.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,220.98687139382628
97,13621.0,23304.0,gas_cc,0.6147551784799757,53.42199813786479,447.80191110325194,232.60247310935554
98,13271.0,22564.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,232.27127642720862
99,13326.0,22530.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,234.7364624962753
100,13315.0,22434.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,235.47701832245684
101,13257.0,22270.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,234.7415262164358
102,13250.0,22427.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,232.80225364998753
103,13190.0,22473.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,229.79406541406885
104,13131.0,22141.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,230.7129830029553
105,13516.0,23310.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,230.52665342756694
106,13837.0,25116.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,219.67329684452028
107,13997.0,26655.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,209.68159663490812
108,13950.0,27366.0,gas_cc,0.613897253019016,53.49665573268612,448.42771722815746,203.4636722792426
109,13540.0,26729.0,gas_cc,0.6156131039409356,53.34754863039911,447.17784923948955,201.44070334761247
110,13312.0,26380.0,coal,0.39483076459925315,52.848901025174754,948.2351759650229,200.1458196936354
