T,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,989.0,4705.0,coal,0.3887054046808509,53.68171306270483,965.4542626782088,180.64267924701545
1,815.0,4411.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,156.33194336038022
2,764.0,4166.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,154.44365099147487
3,501.0,3992.0,coal,0.44040400562393495,47.38006860413978,852.1205190754745,103.22605337896401
4,502.0,4143.0,coal,0.44040400562393495,47.38006860413978,852.1205190754745,99.66944861402361
5,503.0,4098.0,coal,0.44040400562393495,47.38006860413978,852.1205190754745,100.97185117788563
6,567.0,4226.0,coal,0.44040400562393495,47.38006860413978,852.1205190754745,110.81835289820293
7,803.0,4218.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,160.9097094836725
8,923.0,4395.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,179.14621847717783
9,921.0,4625.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,169.84586427685304
10,919.0,4791.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,163.58309629590778
11,917.0,4905.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,159.4120502399476
12,914.0,4887.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,159.443491822553
13,910.0,4701.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,164.9817759377397
14,858.0,4609.0,coal,0.41455470515239295,50.33442327552256,905.2539633755486,158.06164516983853
15,1310.0,5026.0,gas_cc,0.607451293845839,54.06433459393473,454.25729853130076,225.2745698593274
16,1788.0,5660.0,gas_cc,0.5984315582897825,54.87920806492122,461.1039974568559,238.58031711202696
17,2868.0,6762.0,gas_cc,0.5713723516216132,57.47819247254896,482.9410855261206,274.78521541605056
18,3223.0,7144.0,coal,0.3628561042093089,57.50591421210734,1034.231712025194,286.9456138277677
19,2809.0,6729.0,gas_cc,0.5713723516216132,57.47819247254896,482.9410855261206,271.8983656705741
20,2878.0,6781.0,gas_cc,0.5713723516216132,57.47819247254896,482.9410855261206,274.7274793538704
21,2900.0,6706.0,gas_cc,0.5713723516216132,57.47819247254896,482.9410855261206,279.38439328663435
